responseNo,userID,batch,pf,answerTime,finishTime,totalTime,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_9,Q3_6,Q3_7,Q3_8,Q3_5,Q3_10,Q3_11,Q3_12,Q3_13,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_17,Q9_18,Q9_19,Q9_20,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q10_18,Q10_19,Q10_20,Q10_21,Q10_22,Q10_23,Q10_24,Q10_25,Q10_26,Q10_27,Q10_28,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q12_16,Q12_17,Q12_18,Q12_19,Q12_20,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q13_17,Q13_18,Q13_19,Q13_201,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_14,Q14_152,Q14_16,Q14_17,Q14_18,Q15,Q16,Q17,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19_14,Q19_15,Q19_16,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q20_13,Q20_14,Q20_15,Q20_16,Q20_17,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q22_14,Q22_15,Q22_16,Q22_17,Q22_18,Q22_19,Q22_20,Q22_21,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,Q23_13,Q23_14,Q23_15,Q23_16,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q24_16,Q24_17,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_11,Q28_12,Q28_13,Q28_14,Q29,Q30.1,Q30.2,Q30.3,Q30.4,Q30.5,Q30.6,Q30.7,Q30.8,Q30.9,Q30.10,Q30.11,Q31.1,Q31.2,Q31.3,Q31.4,Q31.5,Q31.6,Q31.7,Q32,Q33,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q35_9,Q35_10,Q35_11,Q35_12,Q35_13,Q35_14,Q35_15,Q35_16,Q35_17,Q35_18,Q35_19,Q35_20,Q35_21,Q35_22,Q35_23,Q35_24,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q36_10,Q36_11,Q36_12,Q36_13,Q36_14,Q36_15,Q36_16,Q36_17,Q36_18,Q36_19,Q36_20,Q36_21,Q36_22,Q36_23,Q36_24,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q37_7,Q37_8,Q37_9,Q37_10,Q37_11,Q37_12,Q37_13,Q37_14,Q37_15,Q37_16,Q37_17,Q37_18,Q37_19,Q37_20,Q37_21,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q38_10,Q38_11,Q38_12,Q38_13,Q38_14,Q38_15,Q38_16,Q38_17,Q38_18,Q38_19,Q38_20,Q38_21,Q39,Q40,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q42_1,Q42_2,Q42_3,Q42_4,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_12,Q43_13,Q43_14,Q43_15,Q43_16,Q43_17,Q43_18,Q43_19,Q43_20,Q43_21,Q43_22,Q43_23,Q43_24,Q43_25,Q43_26,Q44,Q45,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q46_9,Q46_10,Q46_11,Q46_12,Q46_13,Q46_14,Q46_15,Q46_16,Q46_17,Q46_18,Q46_19,Q46_20,Q46_21,Q46_22,Q46_23,Q46_24,Q46_25,Q46_26,Q46_27,Q46_28,Q46_29,Q46_30,Q47,Q48,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q49_6,Q49_7,Q49_8,Q49_9,Q49_10,Q49_11,Q49_12,Q49_13,Q49_14,Q49_15,Q49_16,Q49_17,Q49_18,Q49_19,Q50.1,Q50.2,Q50.3,Q50.4,Q50.5,Q50.6,Q50.7,Q50.8,Q50.9,Q50.10,Q51.1,Q51.2,Q51.3,Q51.4,Q51.5,Q51.6,Q51.7,Q51.8,Q51.9,Q51.10,Q52,Q53,Q54,Q55.1,Q55.2,Q55.4,Q55.5,Q55.6,Q55.7
108,12758b65a20e8d9405d012d7f316cee7,1,dy,2025/2/27,2025/2/27,861,2,24,1,,,,,,,,,10,11,,,3,2,4,2,3,1,,,4,,,,,,10,,,13,,,,,,,,1,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,1,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,9,,11,,,,,,17,,3,6,4,4,,2,3,,5,,7,,,,,12,,,,,,,,,5,,7,,,10,,,,14,,,,,2,,,5,6,7,,,,,12,,,,,,,,,,,,9,,,,,14,,16,17,18,,,,,,,,,,,8,,10,11,,,,,,,,3,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,3,4,,,7,,,,2,3,,,,,8,,,,12,,,4,4,3,4,4,4,3,998,5,3,4,3,4,4,4,4,4,4,4,4,5,11,,,,,,,,,,,,,,,,16,,,,,21,,23,,,,,,,,,,,,,,,,,,,,,,,,23,,,,3,,5,,7,,9,,11,,,,,,,,,,,,,3,,5,,7,,,,,,,,,,,,,,,3,4,1,2,3,,,,1,,,,,2,,,,,,8,,,,,,,,,,,,,,,,24,,,4,9,,,,,,,7,,,,,,,,,,,18,19,,,22,,,,,,,,,2,4,,,,,5,,7,8,,,11,,,,,,,,,1,4,2,3,4,4,2,1,3,4,3,2,5,4,2,4,5,4,4,5,2,8,4,陕西省,西安市,A1,W,610,6101
113,4b2077afeae698bb95e7b56ed0f8ded1,1,dy,2025/2/28,2025/2/28,373,2,20,1,2,3,,,,,,9,10,,,,5,2,5,3,2,,,,4,,,,,,,,12,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,14,,,17,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,11,,,14,,,,,2,5,3,4,,2,,,,,,,,10,,,,,,,,2,,,,,7,,,,,,,,,,,,,3,,,,,,,10,,,,14,,,,,,,,,,,,,,,,,16,17,,,,,,,,4,,,,,,,,,,14,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,4,,,,,,1,,,,,,,8,,,,,,,3,4,4,5,5,5,4,4,4,4,5,5,5,5,4,4,5,5,5,4,5,8,,,,,,,,8,,,,,,14,,16,,,,20,21,,,,,,,,,,,,,,,,,14,,16,,,,20,,,,,,2,3,,5,,7,,9,,11,,,14,,,,,,,,,,,,,,7,,,,11,,,,,,,,,,,2,3,1,2,,,,,1,2,,,,,,,5,,,,,,,12,,,,16,,,,,21,,,,,,2,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,2,,,,6,,,,,,,,,,,,,19,3,2,3,2,3,4,3,2,2,3,2,2,4,4,4,4,5,4,3,3,1,1,5,河北省,保定市,B,N,130,1306
114,fa3860e07c905f7e494fc8b962b58a6d,1,dy,2025/2/28,2025/2/28,881,1,40,1,,,,,6,,,,,,,,4,3,5,2,1,1,,,4,5,6,,,,,,,,,,16,,,,,1,,,4,5,6,7,,,,,,13,14,,,,,,,,,,,,,,,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,2,3,,,,7,,,,,,13,,,16,,,2,5,3,2,,,,,5,,,,,,,,13,,,,1,2,3,4,,,,,9,,,,,,,,,,,,,,,7,,,10,,12,,14,,,2,,,5,6,,,,10,,12,,,,,,,,,,,,,,,,7,8,,,11,12,,,,,,,,,,6,7,,,10,,,13,14,,,,,,,4,,,,8,,10,,,,14,,,,18,,,3,,,,,,,7,,,,2,3,,,6,,,,,,,,,2,2,1,2,3,3,2,5,4,1,3,5,3,3,4,5,5,3,3,4,4,6,,,,,,,,,,,,12,,,15,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,26,,,,,2,3,1,,3,,,,,,,10,,,,,15,,17,,,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,3,3,12,10,3,辽宁省,沈阳市,A1,N,210,2101
115,3b2178422de0c81eb296f39fa5fc86ee,1,dy,2025/2/28,2025/2/28,578,2,23,1,2,,4,5,,7,,,,,12,,2,2,2,2,2,1,,3,4,,,,,,,,,,,,16,,,,,,,,4,,,,,,,,,,14,,,,18,,20,,22,23,,,,,,,2,3,,,,,1,,,,,,,,,,,12,,14,,,17,18,,,1,,,,,,,,,,,,,,,,17,18,,,1,2,3,,,,,,,,,,,14,,16,,,3,6,3,4,1,,,,5,,,,,,,,13,14,15,,1,,,4,,,,8,9,,,12,,,,,,,,,,5,6,,,9,10,,,,14,,,,3,,,,,,,,11,12,,,,16,,,19,,,,,,,5,,,8,,,11,12,,,,,,2,,,,,,,9,,,12,13,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,,,,,7,,,,,3,,,6,,8,,,,,,,3,3,4,3,2,4,2,3,4,5,5,5,5,5,4,5,5,3,3,4,5,7,1,2,,4,,6,,,,,,,,14,15,16,17,,,20,,,,,,,,4,,,,,,,,,,14,15,16,,,,,,,,,,2,,,,6,,,,,,12,13,14,15,16,,18,19,,,,,,,,,,,,,,12,,14,,,,18,19,,,4,4,1,2,3,,,,1,2,3,,1,2,,,5,,,,,10,11,12,,,,,,,,,,,,,,,6,10,,2,,4,5,,,,9,,11,,,,15,,,,,20,,,23,,,,,,,,4,7,,,,,,6,,,9,,,,,,,16,,18,19,2,2,2,3,4,4,5,3,2,5,3,1,5,3,5,4,4,2,5,5,7,6,5,黑龙江省,哈尔滨市,A,N,230,2301
116,cfd41330bb4b170652462f4dd68a9405,1,dy,2025/2/28,2025/2/28,800,2,20,1,2,3,,5,,,,,10,,,,2,2,2,3,2,,,3,4,,,,8,9,10,,,13,,,,,,,,1,,3,4,5,,7,8,,,,,,14,,,,,,,,,,,,,,,1,2,3,4,,,,1,2,,,,6,,,,10,11,,13,14,,,17,,,,1,2,,,,,,,,10,11,,13,14,,,17,,,,1,,,,,,7,,,10,11,,,,,,,,3,6,3,5,1,2,3,,,,,,,,,,,14,15,,,,,,,,7,8,9,10,,,13,,,,,,,,4,5,,,,,10,11,,,14,,,,,,,,,8,,,,12,,,15,,17,18,,,,,2,,,,6,,8,9,,,,,14,,,,,3,,5,6,,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,4,3,3,4,3,4,4,4,3,3,4,3,3,4,4,5,5,9,,,,,,,,8,,,,,13,,,16,17,18,,,21,,23,,,,,,,,,8,,,,,,,,,,,,,21,,,,,,3,,,,,,9,,11,,13,,15,,,,,,,,,3,,,,,,9,,11,,,,,,,,,,,3,4,1,2,3,,,,1,2,,,1,,,,5,,,,,10,,12,13,,,,,,19,,,,23,,,,5,7,1,,3,4,5,,,,,,,12,,,,,17,18,19,,,,,,,,,28,,,6,8,,2,3,,5,6,7,,,,,,,,,,,,,3,2,1,1,2,2,3,1,2,4,2,1,2,1,1,2,5,2,5,5,1,10,5,河南省,郑州市,A1,E,410,4101
117,66e05560624230129937cfbd260c12ea,1,dy,2025/2/28,2025/2/28,708,1,23,1,,,,,,,,,,,,,2,3,2,3,2,,2,,,,,,,,10,,,13,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,23,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,2,4,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,14,,,,,,,,,,,,,,11,12,,14,,,,,,,6,7,,,,,,,14,,,,18,,,,,,,,,6,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,16,,18,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,4,4,4,3,5,3,4,4,4,4,5,5,5,5,4,4,3,6,,,,4,,,,,,,,,,,,16,17,18,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,11,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,4,1,2,,,5,,,2,3,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,98,2,2,1,2,,,,,,,,10,,,13,14,,,,,,1,2,2,4,2,4,1,1,1,4,4,2,2,2,2,2,2,2,5,5,2,10,3,山东省,临沂市,B,N,370,3713
118,56af82b69ff8644e942602c982794931,1,dy,2025/2/28,2025/2/28,496,2,38,1,,,,,,,,,,,,,2,2,2,2,4,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,13,,,,,18,,,,,,,,,,,,,,,13,,,,,18,,,1,,3,,5,,,,,,,,13,,,,17,,3,7,4,4,,2,3,,,6,,,,,11,,,,15,,,,,,,6,,8,9,,,,13,,,,,1,,,,5,,,,,10,,12,,,,,,,,,,,,,,,12,,14,,,17,,,,,1,,,4,,,,,,10,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,1,,,4,,,,,,,,,,,3,4,4,3,4,4,4,4,4,3,4,3,3,3,3,3,4,4,2,4,4,7,,,3,,,,,,,,11,12,,,,,,,,,,,23,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,3,3,,2,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,,,,,24,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,9,,,,,,,,,,,2,2,2,2,3,2,1,3,3,3,4,4,4,4,4,4,4,4,4,4,7,8,3,上海市,徐汇区,T4,E,310,310
121,611151d762bc8ae0eb48f9b30c8c5f20,1,dy,2025/2/28,2025/2/28,698,1,34,1,2,3,,,,7,,,,,,,6,3,5,2,2,,,,,,,7,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,26,,,1,2,,,,,,1,,,,,,,,,,,,,,,,17,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,10,,,,14,,,17,,2,1,3,2,,2,,4,,,7,,,,,,13,14,,,1,,3,,,,,,,,,,13,14,,,,,2,,,,,,,9,10,11,,,14,,,,,,,6,,,9,,,,,14,,16,,18,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,99,,,,,,6,,,,,,,,,,,17,,19,,3,,2,,4,,,,,,,2,,,,6,,8,,,,,,,3,3,3,3,3,4,3,5,4,3,5,3,5,5,3,5,4,4,3,4,2,6,,2,,,,,,,,,,12,,14,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,,,,,,,,99,,,,,,,,8,,,,12,,,,,,,,20,,,,,,,4,7,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,,,,,6,7,,,10,,,,,,16,,,,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,2,4,5,2,7,4,山西省,晋城市,D,N,140,1405
122,3d7854bdfb48c8837f427674b42e6df5,1,dy,2025/2/28,2025/2/28,409,2,26,1,,,4,,,,,,10,11,,,3,2,5,2,2,1,,3,,,,,,,10,,,,,,,,,,,1,,,4,,,,,,,,,,14,,,,,,,,,,,,,,,,2,3,,,,,,2,,,5,,,,9,,,12,13,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,5,,,8,,10,,,,,,,,,3,6,3,4,,,3,,,6,7,,,,,,13,,15,,,,,,,6,7,,,,,,13,14,,,,,,,,,6,,,9,,11,,,14,,,2,,,,,,,,,,,,,,,17,,19,,,,,3,,5,,,8,,,,,,,,,,2,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,7,8,,1,2,3,,,,,8,,,,,,,3,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,3,5,4,4,4,9,,,,,,,,,,,,,,,,,,,,,21,,23,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,5,,7,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2,3,1,2,,,,,1,,,,,2,,,,,,,,10,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,,,,,,,19,,,22,,,,,,,,,5,10,1,,,4,,,,,9,,,,,,,,,,,5,5,1,2,4,3,2,1,4,2,3,4,4,3,3,3,5,4,4,3,6,7,5,江苏省,徐州市,A,E,320,3203
124,2a951990d2bf9417742f0c79f87cf0c3,1,dy,2025/2/28,2025/2/28,697,1,20,1,2,3,,5,,7,8,,10,11,,,3,2,4,3,5,1,2,,4,,6,,,,10,,12,13,,,,,18,,,1,2,,4,5,,,,,,,12,,14,,,,18,19,,,,,,,,,,,2,,4,,,,,,3,4,,6,7,8,9,,,,13,14,,,,18,,,,,3,,,6,,,,,,,13,,,,,18,,,,2,3,,,6,7,,,10,,,,,,,,,3,7,3,4,,,,,5,,7,,,10,,,,14,,,,2,3,,,,7,,,,,12,13,,,,,,2,,,,6,,,9,,,,13,14,,,,,4,,,,,,,,12,,,15,16,,,19,,,,,3,,,,,,,,,12,,,,,,,,,,,,,9,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,4,5,,,,,1,,,,5,6,,,,,,,,,4,5,2,3,5,5,4,998,5,5,5,4,5,3,5,4,4,3,4,4,5,9,1,,,4,,6,,8,,,,,,14,,16,17,,,20,,,,,1,,,4,,,,8,,,,,,14,,,17,,,,,,,,,,,,,,7,,,,11,12,13,,,,17,,,,,,,,,,,7,,,,,,13,,,,,,,,,3,3,1,2,3,,,,1,2,3,,,2,,,5,6,,8,,,,12,13,,,16,,,,,,,,,25,,7,12,,,,4,5,6,,8,,,,12,,,15,,17,18,19,,,,,,,26,,28,29,,7,10,,,,,5,6,,8,,10,,,13,,,,,,,4,4,4,4,4,1,1,5,1,5,5,4,2,1,2,4,3,5,4,4,10,8,3,辽宁省,丹东市,C,N,210,2106
125,957b9587394652ea87242c87cac0c799,1,dy,2025/2/28,2025/2/28,443,1,21,1,2,3,,,,,,,,,,,3,3,5,2,1,1,,,,,,,8,,,,,,14,,,,,,,1,2,,4,,,7,,,10,,12,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,10,,,13,14,,16,17,18,,,,,,,,,,,,,,,13,,,16,17,18,,,1,,3,,5,6,,,,,,,13,,,,,,2,4,3,3,,2,,,5,,7,,,10,11,,,,,,1,2,,4,,,7,,,,,,,,,,,,,3,,5,,,,9,,,,13,,,,,,,5,6,,,,10,,,,14,,,,,,,,1,,,,5,,,,9,,,12,,,,,,,,,5,6,,,,,11,,13,14,,,,,,,,,6,,8,,,,,,,,,17,,,,2,,,,,,6,,,,1,,3,4,,,,,,,11,12,,,3,3,2,4,4,4,3,2,3,4,3,4,4,3,4,4,3,2,4,4,3,8,,,,,,,,,,,,,,,,,,18,,,,22,,,,,,,,,,,,,,,,,,,,18,,,,22,,,,,,,,,,,,,11,,13,,,,,,,,,,,,,,,,,,,11,,13,,,,,,,,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,,,,,,,,,,,,13,,,16,,,,1,2,2,2,2,2,1,2,2,3,4,4,4,5,4,4,3,5,4,3,1,1,3,吉林省,吉林市,B,N,220,2202
127,3f6c69398e57e53de4f6acf5babeb675,1,dy,2025/2/28,2025/2/28,807,1,25,1,2,3,,,,7,,9,10,,,,3,3,5,3,2,,2,3,,5,,,,,,,,,,,,,18,,,,,,4,,,,,,,,,,,,16,,,19,,,22,,,,,,,,2,3,4,,,,1,2,,,,6,,,,,,,,,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,4,,,7,,,,,12,,,,,,,1,6,3,3,1,2,,,,6,,,,,,,,,15,,,,,4,5,,7,,,,,,13,,,,,,,,,,,,,,,11,,,,,1,,3,,,,,,,,,12,,,15,,17,,,,,,,,,,6,,8,,,,,13,14,,,,2,,,,,,,,10,,12,,,,,,,,,,,,,,,10,,,,,,16,17,,,,2,,,,,,,7,,,1,,,,,6,,,,,,,,,2,3,3,3,3,3,3,998,4,2,4,4,3,3,4,4,4,4,3,4,3,6,1,,3,4,,,7,,,,,12,,14,,,17,,,20,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,11,12,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,3,4,1,2,3,,,,1,2,,,,,,,,,,,,,,12,,,,,,,,,,,,,25,,4,5,,,,4,5,,,,,,,,,,,,,,,,,22,,,,,,,,,6,6,1,,,,,6,,,,,,,13,,,,,,,2,1,1,2,4,1,1,1,1,5,5,2,2,4,4,1,5,5,3,4,2,7,4,广东省,深圳市,T4,S,440,4403
128,16309db150ba74b50d0af1e870b34382,1,dy,2025/2/28,2025/2/28,444,2,20,1,2,,,5,,,,,,11,,,5,2,2,4,4,1,,,,5,,,,,,11,,,,,16,,,,,,2,,4,5,,7,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,14,,,17,,,,,,,,,,,,,,,,,14,,,,,,,,,,4,,,,,,,,,,,15,16,,,4,7,5,2,,,,4,,,,,,,,12,,,15,,,,3,,5,,,,,,,12,,,,,,1,,,,,,,,9,10,,,13,,,,,,,,,7,8,9,10,,,,,,,,,,20,,1,2,3,,,6,,,,,11,,,,,,1,,,4,,,7,,,,,,13,,,98,,,,,,,,,,,,,,,,,,,,,,10,,2,,,5,,7,8,,,,,4,,,,8,9,10,,12,,,5,5,5,4,5,5,5,4,4,5,4,4,2,4,5,4,5,5,5,4,4,10,,,,,,,,,,,,,13,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,5,,7,,,,11,,,,,,,,,,,,,,,5,,7,,,,11,,,,,,,,,,,4,4,,2,,,,,1,,,,,,,,,,,,,,,,,,15,,,,19,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,6,,,9,,,,13,,,,,,,1,2,3,2,4,3,2,1,3,1,4,1,4,4,1,4,5,4,4,4,1,5,4,广西壮族自治区,贵港市,D,W,450,4508
129,eb8341da7a24ac4bc392e108da45650a,1,dy,2025/2/28,2025/2/28,628,1,26,1,2,3,4,,,,,9,10,,,,4,2,1,2,2,,,3,,,,7,,,10,,,,,,16,,,,,,,,4,,,,,,,,,,14,,16,,,,20,,,,,,,,,1,2,3,,,,,,,,,5,,,8,,,,12,,,,,17,,,,,,,,5,,,,,,,,,,,,17,,,,1,2,3,,,,,,,10,11,,,,,,,,3,7,3,3,,,3,4,,,7,,,10,,,,,,,1,2,,,,,,,,,,,13,14,,,,,,,4,,,,,,10,11,,,14,,,2,,,5,6,,8,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,7,,,3,,,,,8,,,,,,,6,,8,9,,,,,,4,5,4,4,5,4,4,4,4,4,4,5,5,5,4,5,5,5,4,5,5,10,,,,,,,,,,10,,,,,,,17,,,,21,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,6,7,,9,,11,,13,,,,,,,,,,,,,,,,,9,,11,,13,,,,,,,,,3,4,1,2,,,,,1,2,,,1,,,4,5,,,,,,,12,,,,,,,,,21,,,,,,6,9,1,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,,5,,,8,9,,,,,14,,,17,,,4,4,2,2,2,4,2,2,2,4,5,4,4,5,5,5,5,4,5,5,2,7,5,河南省,新乡市,B,E,410,4107
130,fca21426d57093ed4d4daba679565ba4,1,dy,2025/2/28,2025/2/28,622,2,40,1,2,3,,,,,,,,,,,3,2,4,2,2,,,,,5,,,,,,,,13,,,,,,,,,,,4,5,,,,,,,,,,,,,,19,,,,,,,,,,,2,,4,5,,,,,,,,,,,9,,,,,14,,16,,,,,,,,,,,,,9,,,,,14,,16,,,,,,,,4,,,7,,,,,12,,,,,,,3,2,3,3,,,,4,,,,,,,,12,,,,,,,3,,,,,,,,,,13,,,,,,,,,,,7,,,,,,13,,,,,,,,,,,,,,,,,,16,,18,,,,1,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,7,,,,,,,,,,,9,,,,13,,4,3,3,3,3,3,3,3,3,3,3,4,4,5,4,5,5,4,3,4,4,5,,,,,,,,8,,,11,,13,14,,,,,,,,,,,,,,,,,,8,,,,,13,14,,,,,,,,,,,1,2,,,,,,,,,11,,,14,15,,,,,,,1,2,,,,,,,,,11,,,,15,,,,,,,2,4,1,2,,,5,,1,,3,,,2,,,5,,,,,,,,13,,,,,,,,,,,,25,,2,4,,,,,5,,,,9,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,9,,,,13,14,,,,,,1,2,2,3,2,3,1,2,2,4,1,1,1,2,2,2,1,2,5,2,4,8,4,黑龙江省,双鸭山市,D,N,230,2305
